Date,Close,High,Low,Open,Volume
,JPM,JPM,JPM,JPM,JPM
2025-02-21,262.62237548828125,267.55203337911627,261.2309520234313,266.67741567813727,12835600
2025-02-24,259.7401123046875,265.3654662782158,257.02681403378256,263.86470056458387,10372800
2025-02-25,255.82423400878906,261.3899578077281,251.7990395664852,260.6246825385414,9608400
2025-02-26,257.20574951171875,259.3127664562417,255.35712027593058,255.58572318246124,5943600
2025-02-27,257.4641418457031,262.0260695858289,256.28142433244926,258.58722909196575,8204400
2025-02-28,263.02984619140625,263.18887033501215,256.3112505258936,259.1338608307014,10467100
2025-03-03,259.0245361328125,264.689654103572,256.2416892567501,262.3838493601168,9058300
2025-03-04,248.718017578125,255.6552982781972,244.44433831893184,253.7172236712603,13465600
2025-03-05,249.99017333984375,251.50087239520067,246.3128271666759,249.71188866719606,7861400
2025-03-06,245.0307159423828,247.83345964495982,242.3571964194568,246.59111193964247,9983200
2025-03-07,240.7967987060547,245.20962015035235,237.95430656993176,243.72873623663241,20498700
2025-03-10,230.79840087890625,236.05600997666537,227.29994530703334,234.76398042623,18887200
2025-03-11,227.73724365234375,231.8916622959661,225.30224516480106,230.33126628704596,18143000
2025-03-12,226.5048370361328,232.88554846291444,225.86875559103464,232.5675001576764,16054000
2025-03-13,223.81143188476562,228.0950444543765,222.85730215022951,227.8962718495833,16467900
2025-03-14,231.0170440673828,231.71275575272347,226.18679555862144,226.723483097205,11962100
2025-03-17,232.49790954589844,234.22726299532854,229.0491662998078,229.76474461934126,9586000
2025-03-18,233.53155517578125,234.7242059485323,232.09043486014966,232.8855404304428,10344900
2025-03-19,237.64620971679688,240.84649863583104,233.4520426282584,234.296845138488,10120600
2025-03-20,237.54681396484375,240.27997890947805,234.7540187569687,235.11181550179046,8328500
2025-03-21,240.15078735351562,240.81668390835642,235.05218748247606,236.35416546025266,19326900
2025-03-24,246.5414276123047,247.16757574074137,242.91377819332533,243.97721999749032,9422700
2025-03-25,249.59263610839844,250.27841448980763,246.10411393607825,247.78377051306535,9287700
2025-03-26,249.4932403564453,253.11095635467274,248.25089262126588,251.05363639121194,12779300
2025-03-27,246.60104370117188,249.10562090554743,245.6667958062251,248.002415543592,8022500
2025-03-28,241.3633270263672,247.98254431515417,239.6339734981848,245.42828522619592,11978400
2025-03-31,243.79832458496094,244.35489394842733,235.90692927989483,237.94438261538116,13603000
2025-04-01,242.16836547851562,244.18593700817635,239.40538530000353,241.13472365949687,8054700
2025-04-02,244.3151397705078,245.73637827854148,239.98183032953702,240.12097266714437,7758800
2025-04-03,227.29000854492188,233.70051991765362,225.90851845013046,232.8358507344424,17188500
2025-04-04,210.27999877929688,217.6999969482422,208.92999267578125,215.30999755859375,27170700
2025-04-07,214.44000244140625,222.0500030517578,202.16000366210938,205.77000427246094,22914400
2025-04-08,216.8699951171875,227.83999633789062,213.25,223.52000427246094,19485700
2025-04-09,234.33999633789062,237.47999572753906,211.0,212.5,24022400
2025-04-10,227.11000061035156,230.35000610351562,220.10000610351562,230.0,18896400
2025-04-11,236.1999969482422,238.5800018310547,225.0,226.30999755859375,20284500
2025-04-14,234.72000122070312,239.77999877929688,233.6300048828125,237.10000610351562,13017800
2025-04-15,233.1300048828125,238.64999389648438,232.82000732421875,236.10000610351562,10912900
2025-04-16,229.61000061035156,233.5800018310547,227.92999267578125,232.0,9322300
2025-04-17,231.9600067138672,234.33999633789062,230.5500030517578,230.8000030517578,9553800
2025-04-21,228.99000549316406,231.80999755859375,226.33999633789062,230.6300048828125,8716200
2025-04-22,235.58999633789062,235.99000549316406,231.3699951171875,231.97999572753906,10701400
2025-04-23,240.8800048828125,246.7899932861328,240.0,240.22000122070312,14126800
2025-04-24,244.63999938964844,245.47000122070312,237.5800018310547,239.74000549316406,9055200
2025-04-25,243.5500030517578,245.6199951171875,241.75,244.64999389648438,8588600
2025-04-28,243.22000122070312,246.83999633789062,240.83999633789062,244.55999755859375,7394300
2025-04-29,244.6199951171875,245.25,241.69000244140625,242.19000244140625,7216800
2025-04-30,244.6199951171875,245.22000122070312,238.42999267578125,241.2100067138672,12991700
2025-05-01,246.88999938964844,248.4499969482422,242.1699981689453,242.83999633789062,8689600
2025-05-02,252.50999450683594,253.6199951171875,249.4600067138672,251.25999450683594,7165000
2025-05-05,252.55999755859375,255.16000366210938,250.58999633789062,251.17999267578125,5450700
2025-05-06,249.25,252.64999389648438,249.0,250.0,6369900
2025-05-07,249.38999938964844,252.4499969482422,248.8300018310547,249.85000610351562,8724100
2025-05-08,253.47000122070312,255.8800048828125,251.5500030517578,251.57000732421875,8320100
2025-05-09,253.0800018310547,255.50999450683594,252.33999633789062,254.5,5087600
2025-05-12,260.04998779296875,263.6000061035156,258.70001220703125,262.8999938964844,9603900
2025-05-13,263.010009765625,263.6700134277344,260.3900146484375,261.0299987792969,8589000
2025-05-14,265.6400146484375,266.6400146484375,262.2900085449219,263.0,8643100
2025-05-15,267.489990234375,269.5199890136719,264.760009765625,266.9700012207031,9214600
2025-05-16,267.55999755859375,268.4599914550781,264.7099914550781,267.5,8932900
2025-05-19,264.8800048828125,268.32000732421875,261.92999267578125,265.54998779296875,12145000
2025-05-20,265.67999267578125,266.6600036621094,262.29998779296875,262.5199890136719,8436300
2025-05-21,261.0400085449219,265.6499938964844,260.7300109863281,264.3500061035156,7464000
